,model1,model2,model3,model4,model5,model6
186,4.787478839324396,5.135471771734559,5.281913771020562,3.4574691185018795,4.771674680152164,5.225159393581624
187,4.1576277650892735,4.826892939671819,5.109979861195403,2.8797827542664285,4.806136948861851,5.186325467955572
188,4.382871771030174,5.020624251901295,5.057913512182741,3.1697826753883787,4.74829481213708,5.0632270695893755
189,4.453387104818116,4.590132426097101,4.8777535603646935,3.612589518753036,4.724599113172273,5.135571926159357
190,4.443059111640851,4.851462994669596,5.103176836475639,3.1862130145572958,4.833346660584115,5.0282536173829095
191,5.018230323356347,5.0010837358813784,4.992056465560447,3.555023159992673,5.006742701215304,5.033055580604023
192,4.369083626473349,4.977002892889003,4.995012558191265,2.781152117594342,4.654246061899853,4.891743462316535
193,4.772680560910486,5.0190693954039505,5.004478128013599,2.983789048395414,4.3025942123291525,4.86945094535555
194,4.757517509030201,5.12509203603887,5.211157678530088,3.5360444845661614,4.829324809037297,5.048150075093919
195,4.377535186308302,4.6865775528085,4.386777955246373,3.0025499570177887,4.164693472693907,4.692559706198268
196,4.310942521069158,4.376870048200088,4.45284928037354,3.2594960401386497,4.538527756850969,4.780156819779593
197,4.285121043164268,4.593282525032958,4.079948842616566,3.0456943236550775,4.1600696667568,4.572231477265757
198,4.091351080177726,4.716313524287849,4.683986479062149,3.196350111933367,4.41690662140832,4.724629644609502
199,4.01890301709809,4.456827402354343,4.538488349038896,3.023393001900816,4.425017711918135,4.751325288973347
200,4.00231750816541,4.27904182605041,4.7246374959849655,3.0342101522555303,4.677653546281835,4.73211091355631
201,3.626846076437936,4.434815521000029,4.469012800127356,2.949513930758396,4.411477694544733,4.690453119910809
202,3.977758689806619,4.5585639516332614,4.651518818816084,3.0646147120176748,4.525030608805553,4.821024185868633
203,4.482335390960994,4.492559567948802,4.820107765435625,3.329271366454767,4.548072842470394,4.677362683205981
204,3.8665759936667916,4.572817069520178,4.75690355298214,2.944940645910182,4.4783035740696215,4.65461459723615
205,4.5268818458468205,4.329441472941249,4.74011316777454,2.973211504316388,4.604557662529268,4.767517553864143
206,4.1983211263825595,4.544398685625647,4.067670874924381,2.817127644698633,3.821784413551646,4.720836286147104
207,4.643712580946869,5.091928149332211,5.062429230692142,3.1178248330930316,5.065887465279208,5.106259969651584
208,4.528992076515883,5.093711966940788,5.3001369081184775,2.8282257200175835,4.904908664363594,5.207073114723165
209,4.399975428284701,4.902468839630796,5.2845756294648645,3.1780038815665272,4.766055443873921,5.281517896971857
210,4.5696528174821385,5.048751950324678,4.985520515427907,3.3389165391502993,4.910029574273764,5.312593860537271
211,4.406606712472991,5.008480593064488,5.0824888915713275,3.0914305769626518,4.741836022237602,5.074747819599575
212,4.600655111070187,4.565082837705229,5.2249674298019615,3.1969661752647887,4.82356456046206,5.330814346816556
213,5.177795426757382,5.226276154067212,4.92122982952326,3.589336949783237,4.66218604371175,5.312342088634062
214,4.7145606342074995,5.2113464970616805,5.334074558664306,3.5733884869364414,4.937456592494775,5.080313753233558
